Tratamiento;Respuesta;ASTT;Bloque
Testigo;17;47.7906051;1
Testigo;17.5;53.82165605;2
Testigo;20;53.82165605;3
Testigo;12;27.24920382;4
Testigo;18;45.85987261;5
100ppm;15.5;71.65605096;1
100ppm;10.5;35.11146497;2
100ppm;14;38.53503185;3
100ppm;10;24.38296178;4
100ppm;11;31.84713376;5
200ppm;20;66.95859873;1
200ppm;12.5;69.28742038;2
200ppm;21.5;79.00079618;3
200ppm;9;31.84713376;4
200ppm;13.5;74.06449045;5
300ppm;3;51.77149682;1
300ppm;0.5;40.30652866;2
300ppm;9.5;38.53503185;3
300ppm;0.5;43.96894904;4
300ppm;6.5;55.9116242;5
400ppm;1;58.04140127;1
400ppm;5;35.11146497;2
400ppm;5;43.96894904;3
400ppm;14.5;79.00079618;4
400ppm;0.06;28.74203822;5
