Peso,Altura,Zona,Sexo
92.14956406,172.6497009,Zona Norte,Macho
88.13537012,160.9962959,Zona Norte,Macho
90.53815333,162.9438016,Zona Norte,Macho
95.86204162,174.1890937,Zona Norte,Macho
83.70271938,151.4728872,Zona Norte,Macho
86.50873233,159.3921742,Zona Norte,Macho
87.49061046,154.0866898,Zona Norte,Macho
87.44610132,168.0594475,Zona Norte,Macho
94.31658616,152.2260974,Zona Norte,Macho
90.59343051,171.1174995,Zona Norte,Macho
95.03311334,163.8057214,Zona Norte,Macho
93.35475505,170.8406323,Zona Norte,Macho
84.27017964,169.4708963,Zona Norte,Macho
93.91850611,162.4848697,Zona Norte,Macho
89.1609995,154.3451328,Zona Norte,Macho
90.57618837,150.9415012,Zona Norte,Macho
83.03806644,164.2861686,Zona Norte,Macho
87.28355335,155.1295124,Zona Norte,Macho
89.97581462,148.2743039,Zona Norte,Macho
98.72268287,164.3671844,Zona Norte,Macho
99.29442452,160.8163894,Zona Norte,Macho
94.30704834,170.9285168,Zona Norte,Macho
97.50219793,172.7775311,Zona Norte,Macho
89.11137383,157.4825899,Zona Norte,Macho
90.11699944,156.3154475,Zona Norte,Macho
96.13293828,160.4451786,Zona Norte,Macho
98.76575331,161.5040779,Zona Norte,Macho
86.79178262,169.7597148,Zona Norte,Macho
97.41543067,159.0997307,Zona Norte,Macho
89.11795489,144.1209119,Zona Norte,Macho
92.71194076,180.1900868,Zona Norte,Macho
83.86176259,160.3774199,Zona Norte,Macho
85.39606083,165.8897533,Zona Norte,Macho
99.99664902,158.9521972,Zona Norte,Macho
90.45275214,144.1988747,Zona Norte,Macho
96.95492936,155.4780461,Zona Norte,Macho
98.4530516,167.7721412,Zona Norte,Macho
101.0930729,186.0483831,Zona Norte,Macho
95.70889019,169.7463118,Zona Norte,Macho
92.01006459,169.3242977,Zona Norte,Macho
87.50967725,172.7943561,Zona Norte,Macho
86.5780789,164.0025462,Zona Norte,Macho
82.28867812,153.7275764,Zona Norte,Macho
96.57929125,156.9095997,Zona Norte,Macho
86.99760943,167.8991909,Zona Norte,Macho
85.22366553,154.4413262,Zona Norte,Macho
82.340853,146.1538247,Zona Norte,Macho
91.7220069,159.478122,Zona Norte,Macho
84.05800344,160.4345276,Zona Norte,Macho
98.03094009,164.7871184,Zona Norte,Macho
89.0865613,170.8069777,Zona Norte,Macho
100.7286508,170.8068259,Zona Norte,Macho
86.91732785,138.9588324,Zona Norte,Macho
91.46282923,154.2573772,Zona Norte,Macho
85.83121742,145.8342519,Zona Norte,Macho
93.6644394,159.0826611,Zona Norte,Macho
91.1894638,154.9055106,Zona Norte,Macho
91.34868096,164.1277601,Zona Norte,Macho
89.99665111,176.35256,Zona Norte,Macho
92.10571192,146.4562168,Zona Norte,Macho
82.63776312,147.8185062,Zona Norte,Macho
84.28935176,174.3837829,Zona Norte,Macho
91.37870952,163.3824745,Zona Norte,Macho
89.93973475,157.7271731,Zona Norte,Macho
98.67238388,158.1250956,Zona Norte,Macho
97.22243487,165.0470557,Zona Norte,Macho
93.46712898,178.7744561,Zona Norte,Macho
90.95016092,163.3176416,Zona Norte,Macho
83.67604016,165.4174585,Zona Norte,Macho
86.38277095,151.4684815,Zona Norte,Macho
83.51140584,143.1307837,Zona Norte,Macho
92.68853569,172.8812462,Zona Norte,Macho
94.82713153,148.7629451,Zona Norte,Macho
92.51478635,159.5113959,Zona Norte,Macho
82.78562776,155.4872923,Zona Norte,Macho
92.9171968,176.4645713,Zona Norte,Macho
89.45526195,143.9470015,Zona Norte,Macho
101.2260483,182.48771,Zona Norte,Macho
87.14683138,158.2786477,Zona Norte,Macho
86.15903367,147.2887182,Zona Norte,Macho
99.22764879,162.9190609,Zona Norte,Macho
91.28783965,165.0989142,Zona Norte,Macho
86.45734867,177.5914707,Zona Norte,Macho
94.47099203,168.9515573,Zona Norte,Macho
86.07295401,126.6057886,Zona Norte,Macho
82.39346827,151.6210072,Zona Norte,Macho
97.95986012,145.3990589,Zona Norte,Macho
87.48637793,137.1211254,Zona Norte,Macho
85.33218208,139.4934669,Zona Norte,Macho
85.40303436,149.9782188,Zona Norte,Macho
91.77011873,166.2012798,Zona Norte,Macho
96.22818155,162.6301275,Zona Norte,Macho
93.83869843,161.2256155,Zona Norte,Macho
92.34313754,165.2207566,Zona Norte,Macho
89.63255372,147.3542302,Zona Norte,Macho
98.69556659,142.2255964,Zona Norte,Macho
86.98016101,141.8592378,Zona Norte,Macho
92.81202056,169.199187,Zona Norte,Macho
96.87678807,175.0442071,Zona Norte,Macho
82.6002371,146.041571,Zona Norte,Macho
88.8868701,142.2395007,Zona Norte,Macho
83.22645106,150.7181091,Zona Norte,Macho
89.37959618,162.3101673,Zona Norte,Macho
90.15187121,150.1669884,Zona Norte,Macho
100.2867351,183.4775807,Zona Norte,Macho
99.77410496,170.8508612,Zona Norte,Macho
101.6746435,188.9725123,Zona Norte,Macho
91.54390557,168.9045744,Zona Norte,Macho
95.87016467,190.8268429,Zona Norte,Macho
90.51492925,165.6429135,Zona Norte,Macho
97.68333066,149.1062428,Zona Norte,Macho
98.85391975,176.1277354,Zona Norte,Macho
85.66944293,159.1444137,Zona Norte,Macho
92.57079202,170.9954467,Zona Norte,Macho
96.05895101,165.7334171,Zona Norte,Macho
100.2654552,159.100186,Zona Norte,Macho
87.18347837,147.1608647,Zona Norte,Macho
97.8524954,157.0532617,Zona Norte,Macho
94.28939103,163.4186168,Zona Norte,Macho
96.01241057,152.7617544,Zona Norte,Macho
84.15866468,151.3490794,Zona Norte,Macho
88.67731586,148.1063251,Zona Norte,Macho
88.48263216,177.4750656,Zona Norte,Macho
93.30851512,178.5188358,Zona Norte,Macho
86.06356383,158.8269872,Zona Norte,Macho
86.39409015,144.3656,Zona Norte,Macho
94.66230559,156.6023843,Zona Norte,Macho
89.05041021,153.7431231,Zona Norte,Macho
99.13746468,176.5251583,Zona Norte,Macho
101.0144313,197.6384839,Zona Norte,Macho
99.76063022,163.7692925,Zona Norte,Macho
82.93717554,148.3484592,Zona Norte,Macho
97.38081028,151.9193916,Zona Norte,Macho
86.60450845,166.2748567,Zona Norte,Macho
88.30368236,134.328328,Zona Norte,Macho
87.65339172,171.2791957,Zona Norte,Macho
96.26391303,168.4597716,Zona Norte,Macho
99.24275833,162.714892,Zona Norte,Macho
84.12647041,156.9753081,Zona Norte,Macho
93.00655511,164.9645127,Zona Norte,Macho
94.96739029,155.2726975,Zona Norte,Macho
86.69573398,145.1540105,Zona Norte,Macho
83.52594429,153.1343808,Zona Norte,Macho
100.4619009,167.054536,Zona Norte,Macho
84.94433385,165.621714,Zona Norte,Macho
98.4478075,167.064129,Zona Norte,Macho
90.27036784,168.8534448,Zona Norte,Macho
94.25041219,175.4571638,Zona Norte,Macho
83.36241003,144.5915071,Zona Norte,Macho
100.082644,162.8650161,Zona Norte,Macho
99.59086397,174.6199413,Zona Norte,Macho
85.94233745,142.2006911,Zona Norte,Macho
83.38919421,153.7571946,Zona Norte,Macho
85.14679147,161.0088006,Zona Norte,Macho
88.6691356,165.5085707,Zona Norte,Macho
85.60123547,149.9136742,Zona Norte,Macho
84.92965373,157.6332102,Zona Norte,Macho
87.81150877,152.3921388,Zona Norte,Macho
100.7213778,174.7474746,Zona Norte,Macho
84.04920939,152.1833102,Zona Norte,Macho
96.46703765,172.8945453,Zona Norte,Macho
92.32802988,169.0427794,Zona Norte,Macho
90.23798956,156.2275927,Zona Norte,Macho
90.2653056,181.9155637,Zona Norte,Macho
97.24088817,153.2879529,Zona Norte,Macho
87.18353095,155.4765297,Zona Norte,Macho
97.26379561,165.5694513,Zona Norte,Macho
101.6480963,171.3182624,Zona Norte,Macho
95.40238063,189.2875783,Zona Norte,Macho
93.79855785,153.8984385,Zona Norte,Macho
93.2619768,162.2514351,Zona Norte,Macho
97.23593609,148.0944453,Zona Norte,Macho
96.90594801,161.4172043,Zona Norte,Macho
96.15654524,173.2954944,Zona Norte,Macho
101.7361649,190.4810522,Zona Norte,Macho
91.03261814,168.9791932,Zona Norte,Macho
84.36434816,153.4172114,Zona Norte,Macho
86.77270638,143.3021456,Zona Norte,Macho
91.41045524,163.6747004,Zona Norte,Macho
89.04646142,159.2875544,Zona Norte,Macho
88.7715049,140.7244927,Zona Norte,Macho
84.54602532,161.9519902,Zona Norte,Macho
90.48147712,156.8237032,Zona Norte,Macho
91.4662168,170.8466543,Zona Norte,Macho
92.55444015,159.9080271,Zona Norte,Macho
94.53907219,162.8754472,Zona Norte,Macho
99.52052183,169.4816967,Zona Norte,Macho
95.58314073,169.9348416,Zona Norte,Macho
96.48128021,160.2810761,Zona Norte,Macho
85.63695445,153.1793299,Zona Norte,Macho
83.55711037,152.4410349,Zona Norte,Macho
83.44394807,158.6527227,Zona Norte,Macho
83.08125189,150.4994953,Zona Norte,Macho
92.34546811,161.6342524,Zona Norte,Macho
98.28103137,179.7757053,Zona Norte,Macho
90.98096805,136.6802392,Zona Norte,Macho
93.17789776,146.0734176,Zona Norte,Macho
87.59760213,160.1828261,Zona Norte,Macho
99.80188075,174.7820937,Zona Norte,Macho
96.31698557,165.8230246,Zona Norte,Macho
86.46176785,171.4085288,Zona Norte,Macho
92.71789997,136.9001849,Zona Norte,Macho
95.25058194,165.8609169,Zona Norte,Macho
98.96141067,172.2389032,Zona Norte,Macho
84.98366206,156.2702495,Zona Norte,Macho
95.40198797,160.4331897,Zona Norte,Macho
97.23271359,171.5544576,Zona Norte,Macho
101.9726891,186.099133,Zona Norte,Macho
87.26594547,136.5317432,Zona Norte,Macho
99.70372063,176.5977529,Zona Norte,Macho
96.26684038,172.7985923,Zona Norte,Macho
95.41244054,167.392939,Zona Norte,Macho
96.91379153,180.9096752,Zona Norte,Macho
90.26965489,163.911497,Zona Norte,Macho
82.97307203,169.3807865,Zona Norte,Macho
97.29369624,178.6464106,Zona Norte,Macho
98.96129183,156.7968877,Zona Norte,Macho
92.64325475,171.6531249,Zona Norte,Macho
99.406605,163.287004,Zona Norte,Macho
84.47410339,165.7882411,Zona Norte,Macho
84.00490771,142.4431241,Zona Norte,Macho
95.73955656,154.7222714,Zona Norte,Macho
99.41046572,175.1889397,Zona Norte,Macho
97.41304385,169.2217804,Zona Norte,Macho
88.42551369,138.5462848,Zona Norte,Macho
86.58808717,170.194039,Zona Norte,Macho
89.52184512,147.7798417,Zona Norte,Macho
98.07586398,158.6967693,Zona Norte,Macho
98.44666296,181.1298034,Zona Norte,Macho
89.76621977,173.406272,Zona Norte,Macho
92.61491583,144.1927411,Zona Norte,Macho
91.11681894,155.4686441,Zona Norte,Macho
99.01624612,152.4165551,Zona Norte,Macho
86.35041438,168.8761127,Zona Norte,Macho
97.41843724,151.0944379,Zona Norte,Macho
87.51278728,168.04942,Zona Norte,Macho
99.90718958,142.2201326,Zona Norte,Macho
92.4727824,144.6622482,Zona Norte,Macho
98.58354477,171.1469362,Zona Norte,Macho
96.70879636,166.7633627,Zona Norte,Macho
88.30256671,165.7202662,Zona Norte,Macho
92.9663135,136.1102895,Zona Norte,Macho
93.60772562,174.6239389,Zona Norte,Macho
83.08083035,165.2610348,Zona Norte,Macho
91.746796,176.7570018,Zona Norte,Macho
96.18801415,154.3289823,Zona Norte,Macho
84.31860377,140.0999827,Zona Norte,Macho
99.91583511,165.0430832,Zona Norte,Macho
96.67163053,172.5714362,Zona Norte,Macho
96.68004579,162.1376412,Zona Norte,Macho
85.60294278,153.4972215,Zona Norte,Macho
99.50225397,178.8728948,Zona Norte,Macho
93.96452031,158.0942713,Zona Norte,Macho
86.35424916,161.320109,Zona Norte,Macho
84.8795304,152.2775126,Zona Norte,Macho
98.33721564,182.1594796,Zona Norte,Macho
89.15871274,164.8279325,Zona Norte,Macho
90.81472513,161.5631764,Zona Norte,Macho
84.27434114,145.1722659,Zona Norte,Macho
98.63344096,159.0609092,Zona Norte,Macho
100.4705691,157.6865201,Zona Norte,Macho
87.94393742,158.0140777,Zona Norte,Macho
96.73550961,164.9273477,Zona Norte,Macho
90.28004054,148.8853013,Zona Norte,Macho
82.45845221,159.8966247,Zona Norte,Macho
89.80829571,166.0527124,Zona Norte,Macho
86.95345075,142.7711202,Zona Norte,Macho
91.33701152,170.6684235,Zona Norte,Macho
88.45476394,169.9612378,Zona Norte,Macho
99.56356883,174.263861,Zona Norte,Macho
85.25573375,164.0520461,Zona Norte,Macho
101.9074614,162.6749916,Zona Norte,Macho
95.79634013,168.3101336,Zona Norte,Macho
86.55290845,144.0155007,Zona Norte,Macho
97.32049342,165.7665671,Zona Norte,Macho
101.8187162,176.9919256,Zona Norte,Macho
96.95418663,171.1848295,Zona Norte,Macho
96.58927581,178.177861,Zona Norte,Macho
98.60314302,187.6825835,Zona Norte,Macho
82.5196108,153.7427763,Zona Norte,Macho
82.93869071,162.4598068,Zona Norte,Macho
101.9123097,185.7247247,Zona Norte,Macho
84.28131729,147.3960681,Zona Norte,Macho
100.5780769,170.5308212,Zona Norte,Macho
82.49616836,159.5652349,Zona Norte,Macho
101.4301829,177.8116302,Zona Norte,Macho
100.5864188,152.7116856,Zona Norte,Macho
93.10969711,161.0553115,Zona Norte,Macho
94.90458792,166.4773909,Zona Norte,Macho
99.52912092,177.3100605,Zona Norte,Macho
99.13521794,173.593146,Zona Norte,Macho
101.3636038,170.6881019,Zona Norte,Macho
96.04338559,151.2384135,Zona Norte,Macho
101.8758464,169.8005573,Zona Norte,Macho
92.81230191,159.6149757,Zona Norte,Macho
90.97412403,173.864992,Zona Norte,Macho
100.1903264,170.918157,Zona Norte,Macho
83.88458473,153.8313314,Zona Norte,Macho
92.69515105,170.8830654,Zona Norte,Macho
85.23674877,164.7613998,Zona Norte,Macho
88.9572022,139.5662382,Zona Norte,Macho
82.15985213,160.9483228,Zona Norte,Macho
90.02689831,156.0024036,Zona Norte,Macho
93.76701386,154.9431442,Zona Norte,Macho
99.51952468,175.6436014,Zona Norte,Macho
96.17085197,177.479569,Zona Norte,Macho
85.87188521,139.5053104,Zona Norte,Macho
89.63530989,170.4712725,Zona Norte,Macho
85.86118274,155.0059079,Zona Norte,Macho
98.3395474,173.9708006,Zona Norte,Macho
82.20285934,155.9277183,Zona Norte,Macho
89.27218072,171.202097,Zona Norte,Macho
96.57362987,173.9219824,Zona Norte,Macho
89.97930449,149.904073,Zona Norte,Macho
99.49858624,178.3725126,Zona Norte,Macho
84.71432728,158.9017962,Zona Norte,Macho
84.30295628,157.283606,Zona Norte,Macho
85.93458185,157.0162658,Zona Norte,Macho
83.14106698,153.5417214,Zona Norte,Macho
93.74844515,178.4637185,Zona Norte,Macho
96.86350864,149.3053642,Zona Norte,Macho
93.66253712,162.7363983,Zona Norte,Macho
87.82725139,170.2053441,Zona Norte,Macho
101.9560388,176.1599895,Zona Norte,Macho
95.97671218,167.6285296,Zona Norte,Macho
87.17597014,148.897582,Zona Norte,Macho
86.84300178,158.900995,Zona Norte,Macho
89.61725578,149.6277171,Zona Norte,Macho
88.60727235,158.8923554,Zona Norte,Macho
101.2848449,178.5037385,Zona Norte,Macho
86.98203384,159.017122,Zona Norte,Macho
93.61296947,161.1190985,Zona Norte,Macho
98.62512391,189.3391606,Zona Norte,Macho
86.08134883,146.2536589,Zona Norte,Macho
83.42057138,155.8471957,Zona Norte,Macho
97.02140402,167.055117,Zona Norte,Macho
93.45801313,147.9466534,Zona Norte,Macho
96.83816464,179.0650734,Zona Norte,Macho
83.51245158,149.7691744,Zona Norte,Macho
100.4671995,170.7872888,Zona Norte,Macho
84.55371142,152.2446064,Zona Norte,Macho
97.32337327,164.5436142,Zona Norte,Macho
88.78401565,145.3886627,Zona Norte,Macho
84.37861024,146.0325825,Zona Norte,Macho
93.14447645,166.4571449,Zona Norte,Macho
84.74734818,146.1342187,Zona Norte,Macho
99.11775356,173.5337115,Zona Norte,Macho
98.91101903,176.2187229,Zona Norte,Macho
87.68139356,171.4646266,Zona Norte,Macho
98.20167114,173.0140519,Zona Norte,Macho
99.98461775,164.3007176,Zona Norte,Macho
101.5385242,167.6240488,Zona Norte,Macho
93.80578671,170.2346488,Zona Norte,Macho
95.02206161,167.7841229,Zona Norte,Macho
89.57463733,156.9933068,Zona Norte,Macho
91.5502623,176.2085606,Zona Norte,Macho
98.62858771,148.8958288,Zona Norte,Macho
98.21103926,177.412138,Zona Norte,Macho
96.16872642,164.6780129,Zona Norte,Macho
96.56160221,178.935477,Zona Norte,Macho
95.29537322,170.5691786,Zona Norte,Macho
87.80329848,172.7082264,Zona Norte,Macho
96.80100308,162.8766893,Zona Norte,Macho
87.55227944,159.4319252,Zona Norte,Macho
83.73733065,153.6245966,Zona Norte,Macho
94.73189339,152.2726344,Zona Norte,Macho
90.42649111,169.8661737,Zona Norte,Macho
89.22914872,163.823302,Zona Norte,Macho
96.64283014,150.1105404,Zona Norte,Macho
101.1434104,163.4093077,Zona Norte,Macho
101.6137968,164.7162818,Zona Norte,Macho
89.36190147,176.0802301,Zona Norte,Macho
89.60149288,158.6409942,Zona Norte,Macho
83.681061,145.7210169,Zona Norte,Macho
94.21477978,161.9673421,Zona Norte,Macho
91.5687931,148.9670662,Zona Norte,Macho
97.10633864,152.8423155,Zona Norte,Macho
88.29619915,131.7598278,Zona Norte,Macho
92.36977835,151.9831847,Zona Norte,Macho
83.47935817,159.2776017,Zona Norte,Macho
92.89992727,185.3925634,Zona Norte,Macho
89.96189498,156.4888852,Zona Norte,Macho
98.80425121,172.3934645,Zona Norte,Macho
98.47666222,162.8532509,Zona Norte,Macho
86.95775719,147.3572541,Zona Norte,Macho
90.32979483,163.7551607,Zona Norte,Macho
84.01582031,143.55094,Zona Norte,Macho
92.47242936,168.0057802,Zona Norte,Macho
83.41914794,150.613961,Zona Norte,Macho
86.24476236,153.7047501,Zona Norte,Macho
89.5392052,169.4516986,Zona Norte,Macho
95.45559962,158.8520639,Zona Norte,Macho
82.88444723,159.8173628,Zona Norte,Macho
